objectid,parentid,filename,title,creator,distributor,publication,publisher,page number,date,imagedby,imageddate,description,techniques,forms,media,issues,websource,physsource,URL,URLcontext,identifier,type,format,rights,rightsholder,display_template,object_location,image_small,image_thumb,image_alt_text
ff_038,ff_037,sharits-dreamdisplacement-2.jpg,"Detail, Frozen Film Frame for Dream Displacement",Paul Sharits,,,,,1976,,,,direct animation; visible film strip; projection installation,frames; flicker,film,projection; frame registration; alternative segmentation,author,"Albright-Knox Gallery, Buffalo, NY",,,,Image;StillImage,image/jpeg,REQUEST RIGHTS,,image,/objects/sharits-dreamdisplacement-2.jpg,/objects/small/sharits-dreamdisplacement-2_sm.jpg,/objects/thumbs/sharits-dreamdisplacement-2_th.jpg,
ff_039,ff_037,sharits-dreamdisplacement-video.mov,Video of Dream Displacement installed at MoMA,New York Times,New York Times,,,,2011,,,,direct animation; visible film strip; projection installation,frames; flicker,film,projection; frame registration; alternative segmentation,,Museum of Modern Art,,,,Image;MovingImage,video/mp4,REQUEST RIGHTS,,video,/objects/sharits-dreamdisplacement-video.mov,,,
ff_040,,,"""Automation in the Bindery is For the Girls""",Consolidated-Mueller,,The Inland Printer,MISSING,MISSING,MISSING,author (MA),MISSING,,binding,,print; advertisement,printing; automation,,,,,,Image;StillImage,image/jpeg,unknown,,image,,,/objects/thumbs/automation-bindery-1_th.jpg,
ff_041,ff_040,automation-bindery-1.jpeg,"""Automation in the Bindery is For the Girls""",Consolidated-Mueller,,The Inland Printer,,,,,,,binding,,print; advertisement,printing; automation,,,,,,,multiple,unknown,,multiple,/objects/automation-bindery-1.jpeg,/objects/small/automation-bindery-1_sm.jpg,/objects/thumbs/automation-bindery-1_th.jpg,
ff_042,ff_040,automation-bindery-2.jpeg,"""Automation in the Bindery is For the Girls""",Consolidated-Mueller,,The Inland Printer,,,,,,,binding,,print; advertisement,printing; automation,,,,,,Image;StillImage,image/jpeg,unknown,,image,/objects/automation-bindery-2.jpeg,/objects/small/automation-bindery-2_sm.jpg,/objects/thumbs/automation-bindery-2_th.jpg,
ff_043,ff_040,automation-bindery-3.jpeg,"""Automation in the Bindery is For the Girls""",Consolidated-Mueller,,The Inland Printer,,,,,,,binding,,print; advertisement,printing; automation,,,,,,Image;StillImage,image/jpeg,unknown,,image,/objects/automation-bindery-3.jpeg,/objects/small/automation-bindery-3_sm.jpg,/objects/thumbs/automation-bindery-3_th.jpg,
ff_044,ff_040,automation-bindery-4.jpeg,"""Automation in the Bindery is For the Girls""",Consolidated-Mueller,,The Inland Printer,,,,,,,binding,,print; advertisement,printing; automation,,,,,,Image;StillImage,image/jpeg,unknown,,image,/objects/automation-bindery-4.jpeg,/objects/small/automation-bindery-4_sm.jpg,/objects/thumbs/automation-bindery-4_th.jpg,
ff_045,,who-is-this-man-683-comic.pdf,"""Who is This Man?"" Strike Comic by Film Technicians Local 683",Film Technicians Local 683,,,,,1947,author (MA),12-2022,,film laboratory technique,frames,print; comic; political pamphlet,film laboratories; strikes ,,"Roger MacDonald Papers, Margaret Herrick Library",,,1946-47 Strike 683,Text,application/pdf,REQUEST RIGHTS ,,pdf,/objects/who-is-this-man-683-comic.pdf,/objects/small/who-is-this-man-683-comic_sm.jpg,/objects/thumbs/who-is-this-man-683-comic_th.jpg,
ff_046,,,Visible Frame Lines in Dupe Printing of Nitrate onto Safety Film,James Finn,,International Projectionist,,12,1951-05,associate-caitlin-markey (username),03-2013,,film laboratory technique; dupe printing,frames,film,duping; frame registration,The Internet Archive,"Library of Congress, MRBS",,https://archive.org/details/internationalpro26finn/page/n79/mode/2up,internationalpro26finn,,multiple,,,multiple,,/objects/small/internationalprojectionist-03-1951-detail_sm.jpg,/objects/thumbs/internationalprojectionist-03-1951-detail_th.jpg,
ff_047,ff_046,internationalprojectionist-03-1951-detail.png,Visible Frame Lines in Dupe Printing of Nitrate onto Safety Film,James Finn,,International Projectionist,,12,1951-05,associate-caitlin-markey (username),03-2013,,film laboratory technique; dupe printing,frames,film,duping; frame registration,The Internet Archive,"Library of Congress, MRBS",,https://archive.org/details/internationalpro26finn/page/n79/mode/2up,internationalpro26finn,Image;StillImage,image/png,Public Domain,,image,/objects/internationalprojectionist-03-1951-detail.png,/objects/small/internationalprojectionist-03-1951-detail_sm.jpg,/objects/thumbs/internationalprojectionist-03-1951-detail_th.jpg,
ff_048,ff_046,internationalprojectionist-03-1951.pdf,"""New Eastman Identification System for Safety Film""",James Finn,,International Projectionist,,12-16,1951-05,associate-caitlin-markey (username),03-2013,,film laboratory technique; dupe printing,frames,film,duping; frame registration,The Internet Archive,"Library of Congress, MRBS",,https://archive.org/details/internationalpro26finn/page/n79/mode/2up,internationalpro26finn,Text,application/pdf,Public Domain,,pdf,/objects/internationalprojectionist-03-1951.pdf,/objects/small/internationalprojectionist-03-1951_sm.jpg,/objects/thumbs/internationalprojectionist-03-1951_th.jpg,
ff_049,,print-damage-runoff.jpg,"Photograph of ""Runoff,"" Manual of Practical Projection",Robert A. Mitchell,,Manual of Practical Projection,International Projectionist,5,1956,GoogleBooks,,,projection,frames,film,print damage,Hathi Trust Digital Library,Ohio State University Library,https://hdl.handle.net/2027/osu.32435061746590,https://hdl.handle.net/2027/osu.32435061746590?urlappend=%3Bseq=27%3Bownerid=13510798903983854-31,TR890.M5,Image;StillImage,image/jpeg,Public Domain,,image,/objects/print-damage-runoff.jpg,/objects/small/print-damage-runoff_sm.jpg,/objects/thumbs/print-damage-runoff_th.jpg,
ff_050,,casimir-sivan-bains-de-la-jetee-1896.png,"Frames from Bains de Jetée de Pâquis, Genève",Casmir Sivian,,"reproduced in Burning Passions: an Introduction to the Study of Silent Cinema by Paolo Cherchi Usai, 1994",BFI,77,1896,Paolo Cherchi Usai,1994,,film laboratory technique; dupe printing,frames,film,duping; frame registration,The Internet Archive,,https://archive.org/details/burningpassionsi0000cher,,burningpassionsi0000cher,Image;StillImage,image/jpeg,REQUEST RIGHTS ,,image,/objects/casimir-sivan-bains-de-la-jetee-1896.png,/objects/small/casimir-sivan-bains-de-la-jetee-1896_sm.jpg,/objects/thumbs/casimir-sivan-bains-de-la-jetee-1896_th.jpg,
ff_051,,,Training Film Projectionists' Manual [excerpt],United States Armed Forces,United States Bureau of Naval Personnel,Training Film Projectionists' Manual,US Government Printing Office,,1947,GoogleBooks,,,projection,frames,film,projection; frame registration; alternative segmentation,Hathi Trust Digital Library,University of Illinois at Urbana Champaign,https://catalog.hathitrust.org/Record/102271582,,TR890.U5,,multiple,Public Domain,,multiple,,,/objects/thumbs/navy-training-film-projectionist-manual-1947-misframe_th.jpg,
ff_052,ff_051,navy-training-film-projectionist-manual-1947-misframe.jpg,"""Keep the picture in frame and in focus.""",United States Armed Forces,United States Bureau of Naval Personnel,Training Film Projectionists' Manual,US Government Printing Office,17,1947,GoogleBooks,,,projection,frames,film,projection; frame registration; alternative segmentation,Hathi Trust Digital Library,University of Illinois at Urbana Champaign,https://catalog.hathitrust.org/Record/102271582,,TR890.U5,Image;StillImage,image/jpeg,Public Domain,,image,/objects/navy-training-film-projectionist-manual-1947-misframe.jpg,/objects/small/navy-training-film-projectionist-manual-1947-misframe_sm.jpg,/objects/thumbs/navy-training-film-projectionist-manual-1947-misframe_th.jpg,
ff_053,ff_051,navy-training-film-projectionist-manual-1947-framing.jpg,"""Set up equipment...""",United States Armed Forces,United States Bureau of Naval Personnel,Training Film Projectionists' Manual,US Government Printing Office,12,1947,GoogleBooks,,,projection,frames,film,projection; frame registration; alternative segmentation,Hathi Trust Digital Library,University of Illinois at Urbana Champaign,https://catalog.hathitrust.org/Record/102271582,,TR890.U6,Image;StillImage,image/jpeg,Public Domain,,image,/objects/navy-training-film-projectionist-manual-1947-misframe.jpg,/objects/small/navy-training-film-projectionist-manual-1947-framing_sm.jpg,/objects/thumbs/navy-training-film-projectionist-manual-1947-framing_th.jpg,
